year,aid,loan
2000,5741.0,4465.0
2001,6011.0,4524.0
2002,6324.0,4821.0
2003,6681.0,5296.0
2004,6782.0,5553.0
2005,6763.0,5588.0
2006,6934.0,5421.0
2007,7163.0,5637.0
2008,7548.0,6864.0
2009,9106.0,7450.0
2010,9921.0,7466.0
2011,9726.0,7314.0
2012,10096.0,6974.0
2013,10415.0,6740.0
2014,10733.0,6386.0
2015,11051.0,6210.0
2016,11106.0,6007.0
2017,11497.0,5712.0
2018,11565.0,5342.0
2019,11725.0,5124.0
2020,11873.0,4643.0
2021,11937.0,4394.0
2022,11718.0,4170.0
2023,11860.0,3985.0
2024,12080.0,3790.0
