year,academic_year,public_4yr_tuition_fees_2025dollars
1990,90-91,4710.0
1991,91-92,4990.0
1992,92-93,5350.0
1993,93-94,5660.0
1994,94-95,5890.0
1995,95-96,5940.0
1996,96-97,6120.0
1997,97-98,6240.0
1998,98-99,6420.0
1999,99-00,6490.0
2000,00-01,6560.0
2001,01-02,6850.0
2002,02-03,7340.0
2003,03-04,8140.0
2004,04-05,8740.0
2005,05-06,9050.0
2006,06-07,9260.0
2007,07-08,9610.0
2008,08-09,9870.0
2009,09-10,10610.0
2010,10-11,11270.0
2011,11-12,11850.0
2012,12-13,12130.0
2013,13-14,12290.0
2014,14-15,12450.0
2015,15-16,12810.0
2016,16-17,12970.0
2017,17-18,13110.0
2018,18-19,13090.0
2019,19-20,13150.0
2020,20-21,13150.0
2021,21-22,12770.0
2022,22-23,12090.0
2023,23-24,11950.0
2024,24-25,11920.0
2025,25-26,11950.0
